file_name,label,x_min,x_max,y_min,y_max
train/0000.jpg,General trash,197.6,745.4,193.7,663.4
train/0001.jpg,Metal,0.0,57.6,407.4,588.0
train/0001.jpg,Plastic bag,0.0,144.6,455.6,637.2
train/0001.jpg,Glass,722.3,996.5999999999999,313.4,565.3
train/0001.jpg,Plastic,353.2,586.9,671.0,774.4
train/0001.jpg,Plastic,3.7,781.9000000000001,448.5,690.5
train/0001.jpg,General trash,425.3,641.7,681.9,861.7
train/0001.jpg,Plastic bag,92.4,231.6,601.7,654.8000000000001
train/0001.jpg,General trash,622.4,695.1999999999999,686.5,780.7
train/0002.jpg,Metal,267.9,899.5,165.2,678.2
train/0003.jpg,Paper pack,462.2,696.1,369.4,624.0
train/0003.jpg,Styrofoam,773.3,961.6999999999999,3.0,431.4
train/0004.jpg,Paper,567.5,732.7,462.2,551.6
train/0004.jpg,Paper,859.4,1023.5999999999999,411.7,612.6
train/0004.jpg,Paper,362.0,492.0,349.7,601.6
train/0004.jpg,Paper,392.5,604.5,348.4,604.0999999999999
train/0004.jpg,Paper,482.2,759.9,491.4,699.9
train/0004.jpg,General trash,868.2,969.4000000000001,521.7,566.4000000000001
train/0005.jpg,Plastic bag,0.0,317.0,148.3,278.3
train/0005.jpg,General trash,320.0,502.9,233.7,300.2
train/0005.jpg,General trash,297.7,464.6,212.6,274.1
train/0005.jpg,General trash,329.8,372.5,203.2,220.7
train/0005.jpg,Plastic,979.0,1023.7,173.0,259.3
train/0005.jpg,Plastic,894.3,1023.6999999999999,425.4,522.4
train/0005.jpg,Plastic bag,803.6,886.2,282.4,381.7
train/0005.jpg,Plastic bag,489.7,931.3,158.0,321.6
train/0005.jpg,Plastic bag,837.8,971.9,263.6,395.70000000000005
train/0005.jpg,Plastic bag,799.8,963.4,392.4,558.2
train/0005.jpg,Plastic bag,631.9,840.8,237.2,591.2
train/0005.jpg,Plastic bag,948.5,1023.7,0.0,105.9
train/0005.jpg,Plastic bag,55.5,1016.9,0.0,239.0
train/0005.jpg,Paper,68.1,193.39999999999998,66.5,104.8
train/0005.jpg,Paper,181.2,354.6,70.3,166.8
train/0005.jpg,Plastic bag,0.0,333.9,129.3,559.5
train/0005.jpg,Paper,60.6,665.7,271.2,739.0
train/0005.jpg,Paper,104.6,648.1,278.6,595.6
train/0005.jpg,General trash,98.5,168.3,612.3,656.6999999999999
train/0005.jpg,Paper,495.7,841.4,627.6,948.6
train/0005.jpg,Plastic,925.5,977.6,97.3,168.2
train/0005.jpg,General trash,471.4,601.4,422.3,482.0
train/0006.jpg,Paper,351.7,750.4,269.9,829.0
train/0007.jpg,Clothing,109.0,860.7,104.7,581.6
train/0007.jpg,Clothing,95.4,804.1,438.7,991.0999999999999
train/0008.jpg,Styrofoam,51.8,687.4,0.0,395.9
train/0008.jpg,General trash,74.8,321.0,258.0,281.9
train/0008.jpg,Plastic bag,170.3,585.8,0.0,210.5
train/0008.jpg,Plastic bag,0.0,101.2,161.8,823.9000000000001
train/0008.jpg,Plastic bag,86.0,269.2,0.0,124.2
train/0008.jpg,Plastic bag,0.0,192.3,0.0,211.6
train/0008.jpg,Plastic bag,44.4,789.6999999999999,135.9,886.4
train/0009.jpg,Paper pack,308.4,712.5,281.3,697.1
train/0010.jpg,General trash,377.9,746.3,255.0,533.1
train/0011.jpg,General trash,446.6,543.4,445.2,580.8
train/0012.jpg,Paper,146.0,921.4,441.9,952.9
train/0012.jpg,Paper,274.8,658.5,540.1,679.3
train/0012.jpg,Paper,276.3,632.6,334.6,599.4000000000001
train/0013.jpg,Styrofoam,99.9,239.8,58.9,177.0
train/0013.jpg,Plastic bag,746.7,970.5,167.6,420.0
train/0013.jpg,Plastic bag,0.0,111.1,0.0,159.2
train/0013.jpg,Styrofoam,59.3,241.10000000000002,0.0,81.0
train/0013.jpg,Plastic bag,629.2,970.5,24.9,278.09999999999997
train/0013.jpg,Paper,0.0,104.3,159.5,285.2
train/0013.jpg,Paper,0.0,301.0,473.4,823.0999999999999
train/0013.jpg,Paper,0.0,247.5,266.9,509.4
train/0013.jpg,Plastic bag,72.5,907.5,112.0,834.0
train/0013.jpg,Paper,485.2,550.9,173.2,208.79999999999998
train/0013.jpg,Metal,325.1,494.8,457.7,588.5
train/0013.jpg,Plastic,484.6,711.5,145.8,420.6
train/0013.jpg,Plastic,572.6,848.6,538.9,711.9
train/0013.jpg,Plastic,136.1,447.6,355.0,468.8
train/0013.jpg,Plastic,459.2,789.0,335.2,542.7
train/0013.jpg,Plastic,611.2,855.3000000000001,450.0,616.6
train/0014.jpg,Clothing,586.4,874.9,194.4,839.8
train/0014.jpg,Clothing,158.5,490.9,260.7,856.3
train/0014.jpg,Plastic bag,118.9,357.9,0.0,242.5
train/0014.jpg,Clothing,175.7,347.4,97.9,332.6
train/0014.jpg,Metal,909.2,976.0,929.9,1008.8
train/0015.jpg,Styrofoam,844.2,892.5,499.5,600.7
train/0015.jpg,Metal,423.9,848.0,390.4,717.8
train/0015.jpg,Styrofoam,885.6,957.0,577.0,659.6
train/0016.jpg,Styrofoam,306.8,876.7,178.8,789.7
train/0017.jpg,General trash,238.5,741.2,273.7,881.8
train/0018.jpg,Styrofoam,321.7,878.4000000000001,504.4,567.4
train/0018.jpg,Styrofoam,341.7,882.8,471.1,552.9
train/0018.jpg,Styrofoam,320.0,907.5,348.4,541.4
train/0018.jpg,Styrofoam,368.8,791.1,231.6,393.4
train/0018.jpg,Plastic bag,309.5,660.0,474.7,768.0
train/0018.jpg,Styrofoam,370.5,799.9,166.6,286.5
train/0018.jpg,Plastic bag,0.0,490.7,511.0,892.0
train/0018.jpg,Styrofoam,440.6,954.0,529.5,1023.7
train/0018.jpg,Plastic bag,361.7,667.0999999999999,257.0,521.1
train/0018.jpg,Plastic bag,447.0,752.4,65.8,221.2
train/0018.jpg,Metal,737.2,780.5,336.8,400.8
train/0019.jpg,Paper pack,12.2,79.60000000000001,508.2,560.8
train/0019.jpg,Plastic bag,580.1,932.9000000000001,0.8,209.60000000000002
train/0019.jpg,Plastic bag,0.0,224.2,0.0,148.8
train/0019.jpg,Plastic bag,164.2,704.5999999999999,0.0,214.3
train/0019.jpg,Plastic bag,0.0,446.0,95.5,517.1
train/0019.jpg,Plastic bag,0.0,465.6,321.5,694.1
train/0019.jpg,General trash,965.1,1023.7,385.0,427.2
train/0019.jpg,Metal,224.2,285.2,346.7,382.3
train/0019.jpg,Paper,262.1,392.8,355.6,392.20000000000005
train/0019.jpg,Plastic bag,377.6,1023.7,104.6,933.0
